metric,outlier_drop_pct,baseline,compared_to,ratio,gap_holds
weighted,0.0,Phi Management,Micheline el Houss,6.111111111111111,True
weighted,0.0,Micheline el Houss,Phi Management,0.16363636363636364,True
weighted,0.05,Phi Management,Micheline el Houss,5.833333333333333,True
weighted,0.05,Micheline el Houss,Phi Management,0.17142857142857143,True
weighted,0.1,Phi Management,Micheline el Houss,5.597222222222222,True
weighted,0.1,Micheline el Houss,Phi Management,0.17866004962779156,True
total,0.0,Phi Management,Micheline el Houss,6.44,True
total,0.0,Micheline el Houss,Phi Management,0.15527950310559005,True
total,0.05,Phi Management,Micheline el Houss,6.12,True
total,0.05,Micheline el Houss,Phi Management,0.16339869281045752,True
total,0.1,Phi Management,Micheline el Houss,5.88,True
total,0.1,Micheline el Houss,Phi Management,0.17006802721088435,True
likes,0.0,Phi Management,Micheline el Houss,5.2727272727272725,True
likes,0.0,Micheline el Houss,Phi Management,0.1896551724137931,True
likes,0.05,Phi Management,Micheline el Houss,4.818181818181818,True
likes,0.05,Micheline el Houss,Phi Management,0.20754716981132076,True
likes,0.1,Phi Management,Micheline el Houss,4.454545454545454,True
likes,0.1,Micheline el Houss,Phi Management,0.22448979591836735,True
comments,0.0,Phi Management,Micheline el Houss,42.0,True
comments,0.0,Micheline el Houss,Phi Management,0.023809523809523808,True
comments,0.05,Phi Management,Micheline el Houss,40.0,True
comments,0.05,Micheline el Houss,Phi Management,0.025,True
comments,0.1,Phi Management,Micheline el Houss,35.0,True
comments,0.1,Micheline el Houss,Phi Management,0.02857142857142857,True
shares,0.0,Phi Management,Micheline el Houss,2.0,True
shares,0.0,Micheline el Houss,Phi Management,0.5,True
shares,0.05,Phi Management,Micheline el Houss,2.0,True
shares,0.05,Micheline el Houss,Phi Management,0.5,True
shares,0.1,Phi Management,Micheline el Houss,1.5,False
shares,0.1,Micheline el Houss,Phi Management,0.6666666666666666,True
